Alert,Username,Source IP,Destination IP,Source Asset,Destination Asset,Source Account,Destination Account,Source Port,Destination Port,Error Code,Event ID,Affected Workload,Log Source,Scheduled Task Name,Firewall Name,Service,Object ID/Target User ID,Logon Type,Computer Name,Hostname,Timestamp
IPS Alert Detected,user336,133.239.15.168,129.50.200.62,Asset58,Asset40,source_account929,destination_account409,11098,10046,ERR6940,EVT8345,Teams,log_source67,task_2,firewall_10,service_25,94956e70-03aa-4dca-90f4-524de00d7610,RemoteInteractive,comp_72,host_21,2024-07-18 00:25:06
User Added to Office 365 Administrator Role,user6080,58.212.163.75,127.164.109.48,Asset91,Asset48,source_account166,destination_account961,9206,30126,ERR8395,EVT8129,Exchange,log_source95,task_50,firewall_5,service_21,77863427-34d1-4bb5-8f7e-b563c4aa724c,Interactive,comp_82,host_96,2024-07-28 18:41:19
Multiple login failures for the same User - 0365,user9524,93.1.110.187,11.130.231.89,Asset86,Asset35,source_account529,destination_account858,61304,25307,ERR3212,EVT5958,OneDrive,log_source64,task_17,firewall_20,service_14,15f48bb7-16d5-4669-b43f-deac9c376b4a,RemoteInteractive,comp_56,host_30,2024-07-21 17:54:39
Account - O365 Exchange Suspicious Mailbox Right Delegation,user7994,243.176.197.42,185.12.133.192,Asset36,Asset78,source_account487,destination_account984,59380,10678,ERR8471,EVT9398,Teams,log_source49,task_33,firewall_8,service_22,ee1e342d-b0c6-4a17-a998-165922aeff05,Interactive,comp_76,host_74,2024-07-11 01:57:33
Multiple login failures for the same User - 0365,user7049,231.44.41.140,149.7.152.210,Asset87,Asset34,source_account284,destination_account658,25371,6350,ERR2983,EVT3997,Teams,log_source92,task_34,firewall_9,service_49,1e50228c-9da9-4922-bd4f-3f8e8eb6ebe1,Interactive,comp_89,host_74,2024-07-10 09:10:14
Account - O365 Exchange Suspicious Mailbox Right Delegation,user5861,203.171.17.244,137.90.145.236,Asset35,Asset91,source_account71,destination_account60,22847,8754,ERR2886,EVT6486,Teams,log_source32,task_38,firewall_4,service_45,a0ab50ba-10aa-4f55-9b51-9f7b5337290a,Interactive,comp_35,host_11,2024-07-08 05:08:40
Multiple login failures for the same User - Windows,user1571,177.152.148.39,79.114.136.228,Asset36,Asset82,source_account101,destination_account827,11336,25265,ERR3628,EVT4947,Exchange,log_source59,task_21,firewall_1,service_49,058291bf-1bc9-4923-a29d-e12e99c22bc3,Network,comp_50,host_25,2024-07-23 23:27:04
Mass file download by single user - O365 remotely access 4 new assets,user3676,189.76.106.172,41.115.18.49,Asset52,Asset65,source_account240,destination_account908,34449,7095,ERR9218,EVT7468,SharePoint,log_source7,task_22,firewall_11,service_17,ec0f5319-d84d-4134-90f7-1dee9c1f4b5b,RemoteInteractive,comp_32,host_86,2024-07-22 16:41:17
Users or Group Add Operation Detected by User,user940,46.230.142.83,51.240.114.87,Asset94,Asset71,source_account895,destination_account986,9798,54490,ERR2090,EVT8127,Exchange,log_source31,task_40,firewall_6,service_41,e31f9878-5f94-477d-8a84-650cfd6650fa,RemoteInteractive,comp_49,host_72,2024-07-22 17:07:09
Multiple login failures for the same User,user6752,123.221.220.172,68.189.30.221,Asset52,Asset21,source_account62,destination_account897,33373,7661,ERR1442,EVT4199,OneDrive,log_source37,task_34,firewall_16,service_5,85775fa1-b75b-405c-9d90-c40368bb85fe,RemoteInteractive,comp_48,host_25,2024-07-18 09:42:47
Multiple login failures for the same User - 0365,user1471,47.79.74.36,152.53.72.84,Asset8,Asset83,source_account325,destination_account407,3611,50530,ERR9237,EVT8491,OneDrive,log_source11,task_22,firewall_20,service_23,8a81ad8c-7072-440f-8b8f-0a335fd299ec,Interactive,comp_18,host_92,2024-07-25 06:34:17
A Scheduled Task Was Disabled,user7071,233.25.83.235,160.66.64.126,Asset65,Asset1,source_account988,destination_account613,46647,4715,ERR6978,EVT7342,Exchange,log_source14,task_38,firewall_17,service_41,b4ea2622-f225-40f4-8502-3729923fdec3,Interactive,comp_88,host_70,2024-08-01 04:25:24
Mass file delete,user951,205.20.233.235,173.211.216.56,Asset98,Asset10,source_account524,destination_account620,46719,23246,ERR3995,EVT9105,OneDrive,log_source16,task_28,firewall_9,service_26,4ba19d9f-44e5-49dd-9dd9-d12516a674be,Interactive,comp_9,host_28,2024-07-21 22:18:25
A Scheduled Task Was Disabled,user3307,35.113.5.73,224.31.165.79,Asset86,Asset18,source_account159,destination_account964,7960,57354,ERR8451,EVT6404,Exchange,log_source70,task_3,firewall_20,service_33,5bed9086-3847-4923-b165-ff86caf068e9,Network,comp_8,host_23,2024-07-08 11:57:47
Users or Group Add Operation Detected by User,user1774,196.226.89.250,228.123.36.21,Asset87,Asset3,source_account671,destination_account648,47316,27830,ERR6678,EVT5263,Exchange,log_source36,task_16,firewall_8,service_40,ca58611e-801d-46fd-b44b-aeb79430a165,Network,comp_51,host_46,2024-07-24 06:40:14
A Scheduled Task Was Disabled,user6973,61.41.212.64,122.20.36.252,Asset41,Asset78,source_account920,destination_account602,39867,55228,ERR8606,EVT3483,OneDrive,log_source51,task_22,firewall_18,service_39,7af998ee-d584-45fd-8161-2f244e3a338c,Network,comp_41,host_82,2024-07-25 20:25:51
User Account Was Locked out,user8784,83.161.231.86,88.138.173.21,Asset53,Asset29,source_account317,destination_account232,19955,30008,ERR2223,EVT6181,Teams,log_source58,task_16,firewall_17,service_21,8d090d5a-1cf3-4349-b684-82566bf00d8a,RemoteInteractive,comp_48,host_53,2024-07-31 05:14:33
Removal of Exchange Mailbox Right Delegation,user5723,62.58.95.87,110.24.8.41,Asset91,Asset16,source_account95,destination_account94,27585,10443,ERR4096,EVT7700,Exchange,log_source41,task_37,firewall_9,service_43,e1981c65-3554-4f76-9722-3a096dc15c56,Network,comp_30,host_94,2024-07-21 22:43:16
A User Account Was Deleted,user1799,125.237.145.59,126.19.233.182,Asset36,Asset49,source_account935,destination_account485,53001,14170,ERR4795,EVT8553,Exchange,log_source34,task_16,firewall_3,service_26,62901c35-b666-408b-8c13-aedbf95cb6b4,Network,comp_72,host_16,2024-07-12 17:45:56
IPS Alert Detected,user3334,132.231.170.190,7.130.46.19,Asset89,Asset5,source_account130,destination_account312,50632,52213,ERR5307,EVT6390,Exchange,log_source61,task_31,firewall_2,service_41,05cd4b72-b7c0-4c7f-833a-e81facf4ff37,RemoteInteractive,comp_79,host_25,2024-07-05 00:02:01
MFA Removed from a Device,user3486,102.174.155.72,210.238.126.40,Asset49,Asset25,source_account840,destination_account570,30363,11025,ERR9474,EVT4003,OneDrive,log_source71,task_1,firewall_3,service_35,a9c69210-f46e-4b0a-b522-6ea859929c1e,Interactive,comp_40,host_27,2024-08-03 04:25:37
Users or Group Add Operation Detected by User,user7757,151.87.80.86,109.154.24.166,Asset10,Asset43,source_account773,destination_account127,8485,55273,ERR2352,EVT9592,Exchange,log_source76,task_11,firewall_15,service_2,d26c8c80-137e-4073-9766-7b2c33e86bf0,RemoteInteractive,comp_70,host_59,2024-07-22 02:50:10
Mass file delete,user1143,68.181.137.31,11.25.5.179,Asset69,Asset79,source_account43,destination_account628,14813,56079,ERR2047,EVT6550,Teams,log_source97,task_22,firewall_17,service_34,c910820c-280b-4526-9784-96ad730e862e,Interactive,comp_97,host_86,2024-07-19 13:43:34
Inbox Forwarding Rule Created,user6017,79.156.95.85,142.12.195.127,Asset34,Asset9,source_account753,destination_account841,55943,55533,ERR3218,EVT4644,Teams,log_source89,task_21,firewall_10,service_28,04130030-cb5b-4c7c-aed0-2298a8d1a611,RemoteInteractive,comp_22,host_31,2024-07-22 01:52:08
Users or Group Add Operation Detected by User,user1134,82.139.105.224,194.208.27.190,Asset49,Asset24,source_account765,destination_account290,59457,20859,ERR1447,EVT1383,OneDrive,log_source81,task_2,firewall_18,service_13,3413a061-fdd6-4391-882c-db5d3254d671,RemoteInteractive,comp_25,host_15,2024-07-24 01:28:26
Account - O365 Exchange Suspicious Mailbox Right Delegation,user8960,7.70.245.93,10.193.27.199,Asset43,Asset72,source_account869,destination_account582,64153,61372,ERR2546,EVT9550,OneDrive,log_source49,task_47,firewall_8,service_32,5341ffc6-008f-4dc7-b7de-7ac736d0b13c,RemoteInteractive,comp_98,host_82,2024-07-22 10:46:55
Multiple login failures for the same User - 0365,user8872,175.191.240.118,59.250.1.117,Asset90,Asset86,source_account706,destination_account60,25978,20628,ERR5190,EVT5638,Exchange,log_source16,task_3,firewall_20,service_15,1c174368-18be-446e-b1a8-00f68af7cbd1,RemoteInteractive,comp_80,host_30,2024-07-21 06:42:10
Mass file delete by single user - O365,user3530,153.143.221.140,34.80.162.75,Asset15,Asset98,source_account494,destination_account604,20748,61578,ERR1114,EVT8982,SharePoint,log_source56,task_38,firewall_17,service_9,8259197c-08a2-4085-b605-e10778ebd6ab,Interactive,comp_48,host_17,2024-07-24 23:59:56
Mass file delete by single user - O365,user1653,161.150.42.184,228.17.147.69,Asset23,Asset13,source_account156,destination_account33,33439,45783,ERR8668,EVT6901,Teams,log_source5,task_27,firewall_12,service_48,6380bf48-15dd-46ad-a7c4-8cffde9ef3ef,Interactive,comp_87,host_5,2024-07-06 02:47:17
User Account Was Locked out,user3401,118.96.254.180,151.207.60.187,Asset25,Asset99,source_account460,destination_account363,15827,58878,ERR1536,EVT8158,OneDrive,log_source22,task_13,firewall_16,service_43,2c6275f2-54b2-4074-ac61-c6e85501d9af,Network,comp_17,host_76,2024-07-18 20:59:05
A Scheduled Task Was Disabled,user1177,183.203.123.173,177.32.97.93,Asset32,Asset47,source_account485,destination_account55,10672,40369,ERR2230,EVT1820,Teams,log_source38,task_44,firewall_12,service_33,327e153e-62c1-4d90-8168-1127f2c748d4,Network,comp_34,host_55,2024-07-08 10:38:40
IPS Alert Detected,user4956,150.46.30.235,34.191.245.153,Asset9,Asset49,source_account730,destination_account386,33665,16402,ERR5503,EVT7933,OneDrive,log_source93,task_33,firewall_10,service_36,cdc0b6fa-bd9b-41b5-b4bd-61b27b63002c,Network,comp_46,host_1,2024-07-13 20:59:08
Mass file delete,user3743,17.45.137.107,91.72.103.56,Asset58,Asset51,source_account752,destination_account804,18657,4728,ERR4886,EVT8253,Exchange,log_source1,task_33,firewall_1,service_23,b107d839-8de0-4464-9f21-ec2b4302dfda,Interactive,comp_81,host_34,2024-07-15 01:43:39
Multiple login failures for the same User - 0365,user1336,46.255.240.227,154.178.177.36,Asset6,Asset23,source_account500,destination_account914,33526,38570,ERR8355,EVT3230,SharePoint,log_source43,task_14,firewall_10,service_31,b86ecab4-ed86-4b1a-b4ed-ceb0e1a51997,RemoteInteractive,comp_13,host_3,2024-07-23 16:28:34
Users or Group Add Operation Detected by User,user3296,82.46.178.25,250.71.175.128,Asset87,Asset54,source_account937,destination_account963,25143,53914,ERR9308,EVT8451,SharePoint,log_source37,task_7,firewall_13,service_5,d1da94f1-ac93-4f56-9aa3-70d29b2d35be,RemoteInteractive,comp_58,host_51,2024-07-05 14:00:16
Account - O365 Exchange Suspicious Mailbox Right Delegation,user2221,93.138.50.148,75.231.232.19,Asset98,Asset29,source_account766,destination_account182,30277,30822,ERR9097,EVT5851,SharePoint,log_source67,task_25,firewall_9,service_6,edbdd43b-9f96-4cd2-9f22-e8f0bee49798,Network,comp_21,host_97,2024-07-23 18:34:37
Removal of Exchange Mailbox Right Delegation,user7252,68.225.20.96,149.141.49.163,Asset49,Asset20,source_account125,destination_account10,14816,27786,ERR3598,EVT2539,OneDrive,log_source8,task_19,firewall_4,service_19,757b9b33-b5a4-457b-8236-e4c327dc4cd5,RemoteInteractive,comp_89,host_47,2024-07-15 20:52:20
Alerting to Successful Login from Foreign IP,user4774,1.206.228.82,171.184.65.202,Asset87,Asset19,source_account264,destination_account641,29015,41843,ERR7870,EVT5918,Exchange,log_source51,task_28,firewall_16,service_15,99548c9e-308d-4e6a-9db7-fe4038190b9e,Network,comp_75,host_74,2024-08-02 19:40:57
Inbox Forwarding Rule Created,user2486,248.248.180.152,80.204.203.38,Asset97,Asset25,source_account409,destination_account215,11177,47007,ERR6617,EVT5812,SharePoint,log_source89,task_48,firewall_13,service_38,bdf903b2-2748-47c6-947a-428623b66985,Interactive,comp_64,host_66,2024-08-01 08:46:11
Users or Group Add Operation Detected by User,user204,36.164.191.244,125.66.210.215,Asset7,Asset61,source_account294,destination_account580,40277,29830,ERR2176,EVT4945,Exchange,log_source98,task_36,firewall_12,service_16,178d1a9f-e8f0-43b2-b1a7-5cc6c5b610d9,RemoteInteractive,comp_64,host_77,2024-08-02 05:39:29
User Added to Office 365 Administrator Role,user7249,143.101.223.58,175.226.188.76,Asset37,Asset8,source_account96,destination_account177,35207,15173,ERR5049,EVT5311,Exchange,log_source3,task_15,firewall_1,service_23,e67403cc-96c0-45f1-b8b7-df24ec303cc5,RemoteInteractive,comp_85,host_57,2024-07-25 05:56:29
Multiple login failures for the same User,user6895,84.208.7.111,102.130.49.53,Asset51,Asset65,source_account707,destination_account758,52662,51186,ERR5491,EVT4763,OneDrive,log_source86,task_45,firewall_10,service_43,353d72a4-4ef6-41f0-9a1c-b6893380ea05,RemoteInteractive,comp_89,host_85,2024-07-20 13:26:25
Multiple login failures for the same User - Windows,user1777,172.124.110.76,131.192.41.94,Asset6,Asset28,source_account189,destination_account601,58727,22829,ERR2870,EVT9493,Teams,log_source85,task_10,firewall_4,service_30,b256b3b4-d2f9-41b0-8d71-f488e66eb791,Interactive,comp_100,host_17,2024-07-06 06:26:14
Multiple login failures for the same User - 0365,user4060,14.46.108.167,146.206.95.118,Asset89,Asset62,source_account921,destination_account654,32545,12267,ERR3390,EVT1715,Teams,log_source38,task_31,firewall_5,service_21,c14411c6-2010-47a8-ad48-73ace99b62ac,RemoteInteractive,comp_8,host_34,2024-07-24 18:28:37
Inbox Forwarding Rule Created,user3362,144.254.77.46,176.141.193.109,Asset14,Asset46,source_account614,destination_account248,52537,50395,ERR5614,EVT9038,SharePoint,log_source17,task_5,firewall_12,service_23,b74dafbf-a175-4e59-95aa-f6196418812b,Network,comp_9,host_51,2024-07-11 11:13:30
MFA Removed from a Device,user1638,10.64.33.78,179.102.165.27,Asset47,Asset32,source_account777,destination_account178,36065,1708,ERR2232,EVT8024,OneDrive,log_source72,task_20,firewall_15,service_4,d49ab896-1041-41df-b248-4abb78c4b1e1,Interactive,comp_61,host_93,2024-07-06 18:53:08
A User Account Was Deleted,user1495,189.9.181.63,99.10.50.243,Asset91,Asset23,source_account485,destination_account886,55563,19660,ERR1488,EVT1108,Teams,log_source54,task_40,firewall_18,service_14,8ba0d45f-69d4-4343-bdcd-0552d56987e7,Network,comp_97,host_73,2024-07-16 06:06:01
Alerting to Successful Login from Foreign IP,user4937,124.126.186.73,180.45.47.143,Asset4,Asset86,source_account485,destination_account478,37808,4581,ERR1723,EVT8199,Exchange,log_source94,task_17,firewall_10,service_5,3e63e8df-74a5-40b0-b6de-c2f7361efb02,RemoteInteractive,comp_62,host_60,2024-07-25 17:30:12
User Added to Office 365 Administrator Role,user7672,255.100.164.100,71.7.46.8,Asset53,Asset51,source_account526,destination_account824,1595,2103,ERR6135,EVT6439,Teams,log_source69,task_13,firewall_20,service_11,36ed05dc-3e4b-4d90-a280-3a17d1e260f0,Interactive,comp_12,host_58,2024-07-21 00:29:28
Multiple VPN login failures for the same User,user1888,58.169.47.131,28.12.87.32,Asset73,Asset32,source_account655,destination_account448,51709,56024,ERR4962,EVT4104,SharePoint,log_source78,task_12,firewall_10,service_39,3ccac5d8-353b-4273-a410-d652906bd3f0,Network,comp_56,host_8,2024-07-16 01:23:39
Inbox Forwarding Rule Created,user1669,147.181.234.171,86.65.117.172,Asset44,Asset3,source_account263,destination_account210,55835,42904,ERR7577,EVT9841,SharePoint,log_source72,task_40,firewall_2,service_19,05a2fbb0-4648-44e7-bbf5-9a6f90f28127,RemoteInteractive,comp_28,host_30,2024-07-31 08:19:01
Account - O365 Exchange Suspicious Mailbox Right Delegation,user4849,64.39.173.196,64.219.96.158,Asset51,Asset79,source_account490,destination_account124,25310,10581,ERR2496,EVT9115,OneDrive,log_source24,task_40,firewall_14,service_22,bfaa4f4f-819f-4d45-b129-f6ea6554eb41,Network,comp_20,host_1,2024-07-31 23:22:00
Mass file delete by single user - O365,user6582,54.109.116.51,248.160.57.26,Asset33,Asset3,source_account17,destination_account857,24553,30267,ERR5693,EVT6973,Exchange,log_source17,task_26,firewall_7,service_20,db13d3ce-66b9-46c7-85ed-efc6adc60a9d,RemoteInteractive,comp_87,host_79,2024-07-14 08:58:52
User Added to Office 365 Administrator Role,user1203,84.15.166.129,143.254.67.70,Asset84,Asset30,source_account238,destination_account673,44812,52612,ERR9239,EVT6270,Teams,log_source85,task_11,firewall_10,service_40,eb946040-4294-4758-94da-07172905cdd6,Network,comp_97,host_73,2024-07-26 02:28:43
Account - O365 Exchange Suspicious Mailbox Right Delegation,user6309,18.112.219.68,131.31.41.252,Asset38,Asset71,source_account809,destination_account717,33766,12877,ERR4076,EVT5238,OneDrive,log_source26,task_2,firewall_3,service_23,82940ee0-99ed-4ede-b52e-7da92402bd6a,Network,comp_77,host_35,2024-07-09 08:49:59
Account - O365 Exchange Suspicious Mailbox Right Delegation,user5629,206.198.4.185,161.190.133.244,Asset88,Asset85,source_account247,destination_account833,35517,55769,ERR6955,EVT1031,OneDrive,log_source28,task_3,firewall_5,service_5,1f2d1a29-51b0-4507-aee0-1a013444889f,RemoteInteractive,comp_6,host_78,2024-07-26 14:55:22
Mass file delete,user3092,43.54.205.249,141.235.181.187,Asset42,Asset52,source_account76,destination_account543,31569,29036,ERR9611,EVT7896,Exchange,log_source16,task_5,firewall_20,service_40,6daf4ea3-0abf-4817-9b08-3f07b6acda2b,Network,comp_30,host_80,2024-07-06 01:57:13
Mass file delete,user7057,251.57.35.51,194.87.176.248,Asset28,Asset52,source_account528,destination_account180,61726,24929,ERR2023,EVT4762,SharePoint,log_source55,task_40,firewall_7,service_44,142d800b-deb1-4ffc-8923-f433db02eb81,Network,comp_55,host_29,2024-08-01 07:29:50
Alerting to Successful Login from Foreign IP,user1182,174.137.157.77,233.102.131.87,Asset57,Asset10,source_account302,destination_account511,42799,18127,ERR3032,EVT7393,OneDrive,log_source95,task_35,firewall_7,service_20,358af85d-2983-4f45-9ef7-0a12b01dbc25,RemoteInteractive,comp_88,host_1,2024-07-15 03:29:02
Multiple VPN login failures for the same User,user8789,232.221.94.142,47.50.166.217,Asset57,Asset63,source_account592,destination_account306,30654,52746,ERR6027,EVT1490,OneDrive,log_source21,task_37,firewall_3,service_26,72277e08-ebe0-4cdf-87ec-075fbf94e3d3,Interactive,comp_30,host_89,2024-07-22 21:23:33
Removal of Exchange Mailbox Right Delegation,user457,107.38.124.168,200.111.148.176,Asset46,Asset92,source_account593,destination_account347,62290,7173,ERR4835,EVT7086,Exchange,log_source4,task_26,firewall_14,service_43,4c141063-0887-47c1-bfdb-25b75e765665,Interactive,comp_30,host_46,2024-07-16 00:06:01
Account - O365 Exchange Suspicious Mailbox Right Delegation,user3401,154.158.138.240,82.143.218.182,Asset5,Asset96,source_account787,destination_account371,48415,18362,ERR6714,EVT1709,OneDrive,log_source55,task_43,firewall_8,service_45,065d0595-72a2-4afe-a0a7-7561e74921df,Network,comp_9,host_86,2024-08-01 16:41:03
Mass file download by single user - O365 remotely access 4 new assets,user3863,102.73.27.178,62.236.195.219,Asset4,Asset21,source_account103,destination_account722,30958,15454,ERR2892,EVT1961,OneDrive,log_source79,task_36,firewall_1,service_20,011c3c73-793a-4291-83b8-cd1314e9e3c0,RemoteInteractive,comp_28,host_26,2024-07-27 10:33:17
IPS Alert Detected,user4902,88.236.201.149,217.197.139.248,Asset87,Asset75,source_account919,destination_account123,34822,51210,ERR4919,EVT3815,Teams,log_source33,task_17,firewall_3,service_46,57039372-e3ee-4c30-b262-ccef1bbdf9e9,Network,comp_31,host_78,2024-07-21 10:50:29
A User Account Was Deleted,user7170,136.118.247.231,55.237.118.95,Asset59,Asset15,source_account526,destination_account556,39774,62400,ERR5177,EVT2737,OneDrive,log_source56,task_7,firewall_5,service_3,50d2636a-32a8-409f-b897-45101f221239,RemoteInteractive,comp_93,host_69,2024-07-06 22:48:34
Users or Group Add Operation Detected by User,user16,63.178.83.200,153.12.75.242,Asset63,Asset5,source_account493,destination_account600,58632,10560,ERR9834,EVT2053,Exchange,log_source8,task_25,firewall_13,service_44,38e8f2b2-6b70-4bf5-ad7f-6b1815940d53,Interactive,comp_60,host_99,2024-07-12 07:27:56
A Scheduled Task Was Disabled,user7333,229.205.122.183,231.247.30.203,Asset25,Asset52,source_account390,destination_account286,38945,43814,ERR4601,EVT2082,Teams,log_source95,task_35,firewall_1,service_34,b18ba37c-1a29-41d7-9454-fdd3b955ea98,Network,comp_68,host_9,2024-07-22 20:27:18
Mass file delete,user1008,212.33.130.45,51.147.251.180,Asset95,Asset89,source_account812,destination_account270,42540,62111,ERR1686,EVT9613,Exchange,log_source17,task_14,firewall_13,service_22,e1ffe213-92f2-4afa-b516-60e904dab1e9,Interactive,comp_95,host_64,2024-07-30 14:44:02
Mass file delete,user1252,112.35.64.29,224.41.121.56,Asset69,Asset30,source_account137,destination_account90,26745,61792,ERR1556,EVT3864,OneDrive,log_source28,task_35,firewall_16,service_2,19d39027-00a0-4707-87fe-5a3715e888c7,RemoteInteractive,comp_96,host_1,2024-07-08 20:01:41
Users or Group Add Operation Detected by User,user4671,16.180.122.151,31.130.14.38,Asset31,Asset63,source_account43,destination_account340,7276,50823,ERR3476,EVT5380,Teams,log_source66,task_36,firewall_4,service_30,3f9f9335-ea05-46d8-bde0-2955ff6dfe16,RemoteInteractive,comp_19,host_42,2024-07-24 01:56:37
Mass file delete by single user - O365,user5381,84.43.8.133,169.164.229.59,Asset51,Asset14,source_account268,destination_account281,19085,57031,ERR3038,EVT9433,Exchange,log_source65,task_44,firewall_2,service_45,2dc653d9-4175-4588-8ca0-42ee519504d1,Network,comp_59,host_53,2024-07-15 08:52:10
Alerting to Successful Login from Foreign IP,user7952,194.99.108.42,127.112.222.62,Asset29,Asset48,source_account925,destination_account46,44833,5458,ERR3867,EVT1337,Teams,log_source60,task_43,firewall_9,service_2,6a6c2044-25eb-40bd-b577-6887cc2d69df,RemoteInteractive,comp_10,host_99,2024-07-21 18:35:45
A User Account Was Deleted,user9615,253.45.216.255,1.255.211.250,Asset32,Asset20,source_account534,destination_account923,8705,3694,ERR5687,EVT1059,Teams,log_source68,task_46,firewall_14,service_35,1f0f8d5a-756a-4588-b518-d4c90c41749a,Interactive,comp_35,host_66,2024-07-31 06:18:25
IPS Alert Detected,user9053,225.138.220.160,180.14.210.219,Asset69,Asset46,source_account696,destination_account96,29221,14026,ERR1246,EVT4214,OneDrive,log_source67,task_12,firewall_18,service_46,cb809895-0c4f-418d-8b89-ae8b6bbca427,RemoteInteractive,comp_39,host_59,2024-08-01 21:19:45
Multiple login failures for the same User,user8330,9.247.229.244,7.17.198.151,Asset77,Asset99,source_account196,destination_account936,55618,13675,ERR2101,EVT4965,OneDrive,log_source82,task_31,firewall_17,service_4,060d23fb-a1e4-46e9-ab3b-c5ab5874bdf1,RemoteInteractive,comp_47,host_79,2024-07-27 12:47:52
A Scheduled Task Was Disabled,user2202,55.213.247.95,93.201.164.121,Asset18,Asset63,source_account28,destination_account32,42236,56379,ERR5858,EVT4649,Exchange,log_source43,task_36,firewall_6,service_1,91b8b5bb-dc94-4370-8776-e7d1c57191b8,Network,comp_73,host_45,2024-07-23 02:37:58
Multiple login failures for the same User,user7024,4.11.77.177,54.168.5.137,Asset79,Asset79,source_account18,destination_account154,56898,20591,ERR1460,EVT6785,Exchange,log_source19,task_4,firewall_14,service_45,5f8f4eed-9241-4108-89f8-6e417346a196,Interactive,comp_66,host_14,2024-07-21 07:32:52
Mass file delete,user2287,142.54.5.103,86.223.58.192,Asset46,Asset34,source_account794,destination_account989,51062,25197,ERR2330,EVT9788,Exchange,log_source18,task_50,firewall_10,service_9,fa256cef-2ece-4705-bfa5-ecc01c7953b4,RemoteInteractive,comp_76,host_38,2024-07-26 07:40:06
IPS Alert Detected,user1926,143.208.237.170,6.103.156.225,Asset90,Asset95,source_account853,destination_account389,7562,35436,ERR7829,EVT7362,OneDrive,log_source13,task_11,firewall_1,service_34,a1ff0b13-6ede-464e-8524-3f40186e42f9,Network,comp_22,host_49,2024-07-17 19:43:16
Alerting to Successful Login from Foreign IP,user489,124.16.249.244,175.133.151.181,Asset81,Asset64,source_account765,destination_account178,34037,4902,ERR5333,EVT1443,OneDrive,log_source97,task_40,firewall_17,service_9,b8ac2677-94e0-433e-b5d6-8b63f1febdbb,Network,comp_45,host_87,2024-07-06 05:34:21
MFA Removed from a Device,user8780,86.231.214.183,166.95.192.34,Asset93,Asset9,source_account193,destination_account334,40120,35201,ERR4744,EVT7287,Teams,log_source45,task_22,firewall_16,service_46,901d9aec-9c38-4f28-9cfa-a401b757f419,Interactive,comp_72,host_3,2024-07-07 02:58:58
Alerting to Successful Login from Foreign IP,user6337,82.231.93.135,168.191.150.126,Asset49,Asset21,source_account940,destination_account306,51829,35066,ERR2939,EVT9450,OneDrive,log_source76,task_37,firewall_17,service_43,a49578ea-df1c-45a5-8b52-e3612d48fec3,Interactive,comp_32,host_86,2024-07-11 15:22:15
Account - O365 Exchange Suspicious Mailbox Right Delegation,user5884,46.169.4.21,241.205.186.47,Asset18,Asset24,source_account974,destination_account278,28760,64226,ERR8739,EVT3654,Teams,log_source61,task_37,firewall_8,service_1,04e19da6-0697-4285-b9f2-5f75fa47f9cb,Interactive,comp_43,host_56,2024-08-01 12:21:16
Account - O365 Exchange Suspicious Mailbox Right Delegation,user8640,122.107.210.149,148.124.21.24,Asset85,Asset68,source_account585,destination_account421,8766,8380,ERR9209,EVT7423,SharePoint,log_source49,task_23,firewall_20,service_8,f1e94223-f155-4ea1-9794-daacf9795bdc,Network,comp_5,host_52,2024-07-28 14:15:03
Account - O365 Exchange Suspicious Mailbox Right Delegation,user9648,74.242.19.175,112.189.8.29,Asset1,Asset21,source_account927,destination_account458,38427,45127,ERR6626,EVT6991,Teams,log_source85,task_47,firewall_1,service_33,a372acb1-f3e3-44a8-9883-19ca5c7f30ad,Network,comp_63,host_59,2024-07-07 03:16:23
Account - O365 Exchange Suspicious Mailbox Right Delegation,user8801,94.35.247.151,240.123.37.231,Asset91,Asset72,source_account641,destination_account64,51639,30620,ERR7558,EVT4020,SharePoint,log_source41,task_44,firewall_3,service_19,88aec518-1911-4873-bf55-df498a24fb95,Interactive,comp_37,host_63,2024-07-10 10:07:51
A Scheduled Task Was Disabled,user4517,15.228.59.74,68.244.225.239,Asset43,Asset20,source_account152,destination_account125,64426,51242,ERR1381,EVT6643,Teams,log_source79,task_43,firewall_15,service_36,43926e9b-faa7-4e2c-b959-0d220d99a329,Interactive,comp_61,host_45,2024-07-05 05:32:20
User Added to Office 365 Administrator Role,user7709,53.244.70.56,105.129.78.115,Asset24,Asset15,source_account815,destination_account411,12675,12565,ERR2355,EVT8381,SharePoint,log_source73,task_5,firewall_18,service_23,43687d78-0287-43ac-8225-fe01a8a36798,Network,comp_91,host_70,2024-07-13 09:52:11
Multiple login failures for the same User - 0365,user9995,90.67.91.172,103.10.39.255,Asset58,Asset18,source_account505,destination_account881,43598,65342,ERR7548,EVT9025,SharePoint,log_source80,task_15,firewall_4,service_29,c883d464-6c54-4d9d-adc3-cb264e23aa0d,Interactive,comp_88,host_81,2024-07-27 12:30:50
User Account Was Locked out,user679,173.71.50.81,18.111.117.116,Asset37,Asset26,source_account277,destination_account359,14593,10244,ERR1311,EVT9002,Exchange,log_source33,task_6,firewall_20,service_12,cb2223b9-71fe-46fd-9512-7b6d89416449,Network,comp_34,host_71,2024-07-05 19:54:00
